,,,,,,
HOLDINGS STATEMENT,,,,,,
Exchange:,MSE,,,,,
Participant:,CEDAMWMW,,,,,
As Of:,12/05/2026,,,,,
,,,,,,
CDSNo,Symbol,Quantity,AccountStatus,BalanceFree,Time,
CEDAXXX0000000000000281,TNM,150000,ACTIVE,Y,16:00,
CEDAXXX0000000000007243,TNM,33001,ACTIVE,Y,16:00,
CEDAXXX0000000000007243,FDHB,1735,ACTIVE,Y,16:00,
CEDAXXX0000000000004342,FDHB,8200,ACTIVE,Y,16:00,
CEDAXXX0000000000007456,FDHB,2171,ACTIVE,Y,16:00,
CEDAXXX0000000000005648,SUNBIRD,1900,ACTIVE,Y,16:00,
CEDAXXX0000000000007731,SUNBIRD,500,ACTIVE,Y,16:00,
CEDAXXX9999999999999999,TNM,1000,ACTIVE,Y,16:00,
CEDAXXX0000000000000281,XYZNEW,5000,ACTIVE,Y,16:00,
